                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1975,                 1.0509,                 1.1364,                0.99149,                      1,                  0.995,                0.53485,                 1.4793,                0.96189,                 1.5954,              0.0011585,              0.0011585,              0.0011585
                     36,                 1.2892,                   1.13,                 1.2067,                0.94287,                      1,                0.99262,                0.53693,                  1.399,                0.96546,                 1.5285,              0.0011337,              0.0011337,              0.0011337
                     37,                 1.2576,                 1.1175,                 1.2141,                0.93224,                    0.9,                0.91515,                0.51945,                 1.4247,                0.95895,                 1.5732,               0.001109,               0.001109,               0.001109
                     38,                  1.165,                0.97922,                 1.1363,                0.90378,                0.93967,                0.89885,                0.45394,                  1.477,                 1.0289,                 1.5643,              0.0010842,              0.0010842,              0.0010842
                     39,                 1.2931,                 1.0138,                 1.2179,                 0.9413,                    0.9,                 0.8987,                0.47196,                  1.475,                0.96237,                 1.5074,              0.0010595,              0.0010595,              0.0010595
                     40,                 1.1942,                 1.0892,                 1.1356,                      1,                0.99344,                  0.995,                0.53308,                 1.4403,                0.88008,                 1.5005,              0.0010347,              0.0010347,              0.0010347
                     41,                 1.2696,                 1.1045,                 1.2044,                0.99311,                   0.95,                0.99262,                0.53396,                  1.443,                 0.8672,                 1.5335,                0.00101,                0.00101,                0.00101
                     42,                 1.2529,                0.97566,                 1.1738,                      1,                0.99513,                  0.995,                0.54284,                 1.4485,                0.92789,                 1.6413,             0.00098525,             0.00098525,             0.00098525
                     43,                  1.198,                0.98877,                  1.178,                0.99579,                      1,                  0.995,                0.50469,                 1.4644,                0.92497,                 1.7053,              0.0009605,              0.0009605,              0.0009605
                     44,                 1.1762,                0.95819,                 1.1423,                0.94531,                   0.95,                0.92531,                0.46716,                 1.4783,                0.96387,                 1.6862,             0.00093575,             0.00093575,             0.00093575
                     45,                 1.1642,                0.92156,                 1.1507,                0.94496,                   0.95,                0.90785,                0.50246,                 1.4139,                0.92388,                 1.6282,               0.000911,               0.000911,               0.000911
                     46,                 1.1865,                0.93434,                 1.1434,                0.99376,                      1,                  0.995,                0.53121,                 1.4162,                0.90717,                 1.6207,             0.00088625,             0.00088625,             0.00088625
                     47,                 1.1182,                0.86518,                 1.1049,                      1,                0.99372,                  0.995,                0.52665,                 1.3796,                0.92508,                 1.6025,              0.0008615,              0.0008615,              0.0008615
                     48,                 1.1639,                0.88618,                 1.1298,                0.99808,                   0.95,                0.99262,                0.53724,                 1.3462,                0.88646,                 1.5607,             0.00083675,             0.00083675,             0.00083675
                     49,                 1.1413,                0.85769,                 1.1084,                0.94938,                      1,                0.99262,                0.54629,                 1.3091,                0.83245,                 1.5048,               0.000812,               0.000812,               0.000812
                     50,                 1.2195,                0.98899,                 1.1267,                0.99249,                      1,                  0.995,                0.52714,                 1.3191,                0.86341,                 1.5064,             0.00078725,             0.00078725,             0.00078725
                     51,                 1.1803,                0.88383,                 1.0938,                0.99541,                      1,                  0.995,                0.54036,                 1.3067,                0.85235,                 1.5264,              0.0007625,              0.0007625,              0.0007625
                     52,                 1.1376,                  0.916,                 1.1391,                0.99527,                      1,                  0.995,                 0.5289,                 1.2717,                0.81794,                  1.514,             0.00073775,             0.00073775,             0.00073775
                     53,                 1.1206,                0.79418,                 1.0936,                0.99465,                      1,                  0.995,                0.52544,                 1.3022,                0.81361,                 1.5429,               0.000713,               0.000713,               0.000713
                     54,                 1.1403,                0.86937,                 1.1174,                0.99595,                      1,                  0.995,                0.50846,                 1.4296,                0.80754,                 1.6088,             0.00068825,             0.00068825,             0.00068825
                     55,                 1.1595,                0.88614,                 1.1447,                0.99532,                      1,                  0.995,                0.49613,                 1.4909,                0.84233,                 1.6367,              0.0006635,              0.0006635,              0.0006635
                     56,                 1.1925,                0.90517,                 1.0893,                0.99619,                      1,                  0.995,                0.49699,                 1.5089,                0.84446,                 1.6397,             0.00063875,             0.00063875,             0.00063875
                     57,                 1.1293,                0.90465,                 1.1309,                0.99931,                      1,                  0.995,                0.51018,                 1.4951,                0.82922,                 1.6322,               0.000614,               0.000614,               0.000614
                     58,                 1.0987,                0.84548,                 1.1314,                0.99571,                      1,                  0.995,                0.52906,                 1.4769,                0.84949,                 1.6061,             0.00058925,             0.00058925,             0.00058925
                     59,                 1.0531,                0.79174,                 1.0965,                0.99582,                      1,                  0.995,                0.52375,                 1.4962,                0.85887,                 1.6423,              0.0005645,              0.0005645,              0.0005645
                     60,                 1.1137,                0.88017,                  1.123,                0.99591,                      1,                  0.995,                0.49287,                 1.5174,                0.84221,                 1.6688,             0.00053975,             0.00053975,             0.00053975
                     61,                 1.0538,                0.81156,                 1.0745,                0.99536,                      1,                  0.995,                0.50895,                 1.5099,                0.81323,                 1.6531,               0.000515,               0.000515,               0.000515
                     62,                 1.0974,                0.80676,                 1.0993,                0.99643,                      1,                  0.995,                0.52276,                 1.4636,                0.78876,                 1.6082,             0.00049025,             0.00049025,             0.00049025
                     63,                 1.1235,                0.81351,                 1.1066,                0.99682,                      1,                  0.995,                0.50944,                 1.4358,                0.79019,                 1.5845,              0.0004655,              0.0004655,              0.0004655
                     64,                 1.0478,                0.77826,                 1.0682,                0.99633,                      1,                  0.995,                0.49328,                 1.4407,                0.80921,                 1.5896,             0.00044075,             0.00044075,             0.00044075
                     65,                 1.1059,                0.81096,                 1.1221,                0.99652,                      1,                  0.995,                 0.5023,                 1.4484,                0.79578,                 1.6005,               0.000416,               0.000416,               0.000416
